ETH Farm List  ·  DefiLlama API snapshot 12 Sep 2026  ·  216 pools,,,,,,,,,,,,,,,,,
Asset,Protocol,Chain,Type,Farm,Risk,Link,Base Asset,TVL ($),Now,7d,30d,Base,Reward,Intrinsic,Risk Note,LinkURL,Flags
ETH,Morpho Blue,Base,Lending,CBETH,Med-Low,DefiLlama,CBETH,9424695,2.64721,2.64721,2.64721,0,,2.64721,score 6.3; CBETH 8.3*; -2 self-reported,https://defillama.com/yields/pool/e040bdef-6e6e-4627-bc88-75a0b26605b0,SELF-REPORTED(flat 30d history)
ETH,Morpho Blue,Base,Lending,CBETH,Med-Low,DefiLlama,CBETH,1416811,2.64721,2.64721,2.64721,0,,2.64721,score 6.3; CBETH 8.3*; -2 self-reported,https://defillama.com/yields/pool/61faa6f7-db51-4205-b090-7d8bfacbad72,SELF-REPORTED(flat 30d history)
ETH,Compound V3,Base,Lending,USDC-pool,Med-Low,DefiLlama,CBETH,1254105,2.64721,2.64721,2.64721,,,2.64721,score 6.3; CBETH 8.3*; -2 self-reported,https://defillama.com/yields/pool/7bae3517-56f1-4c65-8480-904030d70343,SELF-REPORTED(flat 30d history)
ETH,Morpho Blue,Base,Lending,CBETH,Med-High,DefiLlama,CBETH,633944,2.64721,2.64721,2.64721,0,,2.64721,score 5.3; CBETH 8.3*; -2 self-reported; -1 tvl<1M,https://defillama.com/yields/pool/073b204c-f9a8-41a8-b878-058a30d020df,SELF-REPORTED(flat 30d history)
ETH,Compound V3,Base,Lending,WETH-pool,Med-High,DefiLlama,CBETH,412193,2.64721,2.64721,2.64721,,,2.64721,score 5.3; CBETH 8.3*; -2 self-reported; -1 tvl<1M,https://defillama.com/yields/pool/c372279e-92ff-4acc-ad90-14a4d3a888e4,SELF-REPORTED(flat 30d history)
ETH,Morpho Blue,Base,Lending,CBETH,Med-High,DefiLlama,CBETH,344226,2.64721,2.64721,2.64721,0,,2.64721,score 5.3; CBETH 8.3*; -2 self-reported; -1 tvl<1M,https://defillama.com/yields/pool/b8dcf4a9-78ad-405a-affa-5a1d8e0bf11a,SELF-REPORTED(flat 30d history)
ETH,Euler V2,Monad,Lending,EVK Vault eWETH-3,Low,DefiLlama,WETH,11034517,2.64019,2.79483,3.01322,1.2025,1.43769,,score 8.0; WETH 9.0*; collateral leg 8.5 (wstETH 8.5*@100%); collateral leg governs; -0.5 lltv 95%,https://defillama.com/yields/pool/63339201-f070-41e4-94cf-85dc19637da4,
ETH,Fraxlend,Ethereum,Lending,frxUSD borrow,Med-Low,DefiLlama,SFRXETH,1278437,2.63451,2.63451,2.63451,,,2.63451,score 6.0; SFRXETH 8.0*; -2 self-reported,https://defillama.com/yields/pool/cde8679e-d52b-49dc-b1c1-e7c37e3a0251,SELF-REPORTED(flat 30d history)
ETH,Aave V3,Ethereum,Lending,Prime Instance,Med-Low,DefiLlama,WETH,3221912,2.58187,1.85599,1.55823,2.58187,,,score 7.9; WETH 9.0*; capped 7.9: not VERIFIED,https://defillama.com/yields/pool/ef8c5c38-6a41-4383-9dc8-6fb31e69a0c9,
ETH,Curve DEX,Ethereum,LP,WSTETH-RETH-SFRXETH,Med-High,DefiLlama,WSTETH-RETH-SFRXETH,301661,2.56,2.63571,2.76667,2.56,0,,score 5.0; WSTETH 8.5*; RETH 8.3*; SFRXETH 8.0*; worst leg: SFRXETH; -2 red flags; -1 tvl<1M,https://defillama.com/yields/pool/8b55f2ca-0f4b-4dbd-8d02-62e8bc397fb9,NOT-ACCRUING(realized -0.16 vs quoted 2.56)
